Operacion,Numero,Tiempo_ms
INSERT_REACTION,1,18.47
INSERT_REACTION,2,34.35
INSERT_REACTION,3,15.51
INSERT_REACTION,4,12.23
INSERT_REACTION,5,15.94
INSERT_REACTION,6,20.26
INSERT_REACTION,7,13.86
INSERT_REACTION,8,12.94
INSERT_REACTION,9,13.50
INSERT_REACTION,10,13.07
INSERT_REACTION,11,25.14
INSERT_REACTION,12,16.79
INSERT_REACTION,13,30.74
INSERT_REACTION,14,19.51
INSERT_REACTION,15,24.13
INSERT_REACTION,16,13.28
INSERT_REACTION,17,20.61
INSERT_REACTION,18,21.74
INSERT_REACTION,19,14.11
INSERT_REACTION,20,12.20
INSERT_REACTION,21,17.12
INSERT_REACTION,22,12.43
INSERT_REACTION,23,12.46
INSERT_REACTION,24,20.13
INSERT_REACTION,25,11.47
INSERT_REACTION,26,17.33
INSERT_REACTION,27,17.24
INSERT_REACTION,28,13.77
INSERT_REACTION,29,11.15
INSERT_REACTION,30,13.78
INSERT_REACTION,31,12.32
INSERT_REACTION,32,16.14
INSERT_REACTION,33,29.10
INSERT_REACTION,34,13.05
INSERT_REACTION,35,21.98
INSERT_REACTION,36,15.07
INSERT_REACTION,37,25.33
INSERT_REACTION,38,19.49
INSERT_REACTION,39,25.04
INSERT_REACTION,40,19.59
INSERT_REACTION,41,13.01
INSERT_REACTION,42,14.54
INSERT_REACTION,43,13.24
INSERT_REACTION,44,24.17
INSERT_REACTION,45,13.94
INSERT_REACTION,46,20.88
INSERT_REACTION,47,19.47
INSERT_REACTION,48,15.40
INSERT_REACTION,49,18.99
INSERT_REACTION,50,18.16
SELECT_POST,1,13.31
SELECT_POST,2,13.94
SELECT_POST,3,13.37
SELECT_POST,4,9.62
SELECT_POST,5,13.56
SELECT_POST,6,16.10
SELECT_POST,7,14.57
SELECT_POST,8,12.16
SELECT_POST,9,10.37
SELECT_POST,10,21.95
SELECT_POST,11,13.94
SELECT_POST,12,16.70
SELECT_POST,13,14.06
SELECT_POST,14,16.22
SELECT_POST,15,13.45
SELECT_POST,16,13.32
SELECT_POST,17,15.57
SELECT_POST,18,10.41
SELECT_POST,19,11.28
SELECT_POST,20,16.03
SELECT_POST,21,16.25
SELECT_POST,22,20.23
SELECT_POST,23,12.26
SELECT_POST,24,13.12
SELECT_POST,25,18.81
SELECT_POST,26,19.45
SELECT_POST,27,12.87
SELECT_POST,28,15.11
SELECT_POST,29,51.70
SELECT_POST,30,15.26
SELECT_POST,31,16.30
SELECT_POST,32,25.50
SELECT_POST,33,14.50
SELECT_POST,34,20.18
SELECT_POST,35,17.05
SELECT_POST,36,18.52
SELECT_POST,37,16.52
SELECT_POST,38,13.42
SELECT_POST,39,20.65
SELECT_POST,40,19.13
SELECT_POST,41,21.52
SELECT_POST,42,22.85
SELECT_POST,43,11.70
SELECT_POST,44,18.83
SELECT_POST,45,14.33
SELECT_POST,46,11.99
SELECT_POST,47,14.87
SELECT_POST,48,34.06
SELECT_POST,49,16.65
SELECT_POST,50,15.68
